Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2024-01-01,2914.533935546875,1038.32177734375,5727.94970703125,3327.10400390625,1096.8533935546875,6647.0771484375,1675.343017578125,659.398193359375,1007.4357299804688,214.76617431640625,5251.4462890625,1240.48193359375,355.1929016113281,3892.01220703125,1157.4757080078125,3994.095703125,2110.763671875,1411.36865234375,1675.2239990234375,646.5014038085938,3967.078369140625,606.9208374023438,2618.707763671875,990.8698120117188,1581.2947998046875,1491.409423828125,438.12103271484375,870.7787475585938,1907.059814453125,3465.63134765625,1690.9190673828125,10187.0791015625,2700.454833984375,300.14862060546875,192.19427490234375,226.4627227783203,1295.125,1426.816650390625,618.3558349609375,28304.263671875,1241.6624755859375,781.448974609375,133.96388244628906,3665.432861328125,1262.2178955078125,3665.156982421875,10402.3115234375,592.7000122070312,233.42884826660156
2024-01-02,2929.719970703125,1068.593994140625,5724.26318359375,3322.450439453125,1092.406982421875,6611.31787109375,1685.1368408203125,671.2328491210938,1016.037841796875,216.76158142089844,5220.89453125,1270.775146484375,365.2867736816406,4005.416259765625,1178.3818359375,3849.84375,2085.114501953125,1397.861328125,1676.2105712890625,643.312255859375,3937.8447265625,613.483154296875,2578.313720703125,973.8661499023438,1558.300048828125,1475.1143798828125,440.2740173339844,863.4363403320312,1863.0081787109375,3379.763671875,1644.1612548828125,10102.330078125,2685.730224609375,296.5148620605469,193.78536987304688,226.08251953125,1305.8499755859375,1432.3460693359375,616.52392578125,27933.27734375,1277.0821533203125,775.32080078125,133.72439575195312,3638.59912109375,1243.6807861328125,3686.188232421875,10144.5400390625,594.4500122070312,229.53961181640625
2024-01-03,3000.25537109375,1084.2998046875,5746.12890625,3305.06103515625,1097.7528076171875,6930.17626953125,1676.59228515625,667.1448974609375,1029.4630126953125,219.04202270507812,5186.29443359375,1289.21875,357.7512512207031,4006.0126953125,1179.3958740234375,3844.99755859375,2056.092041015625,1367.6126708984375,1650.363525390625,635.0404052734375,3843.112060546875,589.669677734375,2571.162353515625,975.6508178710938,1583.569580078125,1432.4298095703125,446.7327575683594,831.1393432617188,1863.857177734375,3381.9755859375,1643.21826171875,9983.3544921875,2627.7255859375,296.70867919921875,194.90847778320312,225.32211303710938,1291.6500244140625,1417.4512939453125,620.3805541992188,28065.740234375,1279.44677734375,772.4049682617188,129.65328979492188,3550.64453125,1210.69384765625,3681.00537109375,10051.939453125,586.8499755859375,223.0330352783203
2024-01-04,2995.559814453125,1112.986572265625,5740.052734375,3311.281982421875,1122.53369140625,6866.34521484375,1700.8768310546875,696.12158203125,1042.0926513671875,215.0512237548828,5292.4130859375,1285.7481689453125,357.9373474121094,4017.4921875,1161.5614013671875,3818.68896484375,2054.107421875,1350.6810302734375,1668.07177734375,645.7539672851562,3801.789794921875,587.1342163085938,2557.352294921875,978.724365234375,1630.4490966796875,1454.252685546875,445.9371337890625,830.5935668945312,1861.5596923828125,3400.013916015625,1629.7667236328125,9921.5869140625,2675.19873046875,307.27081298828125,200.89845275878906,229.50440979003906,1298.324951171875,1426.318359375,619.7056274414062,28201.138671875,1293.585205078125,786.5394287109375,128.59957885742188,3526.648193359375,1213.9049072265625,3707.568359375,9955.759765625,587.6500244140625,221.32078552246094
2024-01-05,3003.85205078125,1143.7542724609375,5732.13330078125,3287.377685546875,1136.0731201171875,6922.24072265625,1708.422119140625,696.62744140625,1040.7998046875,215.26502990722656,5204.6064453125,1276.0802001953125,357.4721984863281,3990.25927734375,1160.2591552734375,3834.563232421875,2063.335205078125,1362.9041748046875,1659.5382080078125,644.5579833984375,3843.545654296875,583.6541748046875,2584.478759765625,985.2184448242188,1625.1578369140625,1473.3358154296875,443.6438293457031,822.9534301757812,1845.5771484375,3462.141357421875,1630.0645751953125,9923.271484375,2630.566650390625,305.1874084472656,202.5831298828125,229.31430053710938,1303.8499755859375,1448.7852783203125,618.934326171875,26873.916015625,1281.023193359375,781.7949829101562,128.0248260498047,3595.03076171875,1214.6834716796875,3700.441650390625,9957.001953125,581.25,223.37548828125
2024-01-08,2960.79150390625,1158.221435546875,5660.16064453125,3231.388427734375,1121.134765625,6927.5478515625,1695.2803955078125,698.8724365234375,1043.236328125,216.16770935058594,5110.8271484375,1261.0574951171875,353.8904724121094,3910.15087890625,1145.4866943359375,3841.684326171875,2051.626953125,1377.2674560546875,1641.040771484375,643.6610107421875,3862.039306640625,574.3574829101562,2543.246337890625,973.6182861328125,1609.234619140625,1463.9625244140625,435.7341003417969,815.5613403320312,1824.1007080078125,3441.69482421875,1604.4024658203125,9853.62890625,2584.099853515625,306.6409606933594,203.98703002929688,230.35989379882812,1293.675048828125,1415.807373046875,604.5203247070312,27178.5703125,1286.048095703125,779.9663696289062,126.44426727294922,3537.70849609375,1195.8544921875,3693.962890625,9875.9326171875,560.9000244140625,220.31790161132812
2024-01-09,3011.844970703125,1186.214599609375,5775.3662109375,3201.116455078125,1115.68896484375,7036.71044921875,1681.38916015625,697.9193115234375,1058.6005859375,218.51942443847656,5056.5830078125,1278.509521484375,358.4955139160156,3960.3427734375,1143.1903076171875,3828.035400390625,2048.00537109375,1389.1578369140625,1628.2652587890625,638.7278442382812,3961.25146484375,572.6671752929688,2544.72607421875,971.3875122070312,1607.256591796875,1470.21142578125,434.8448486328125,815.015625,1824.650146484375,3495.614013671875,1618.052490234375,9930.3046875,2557.758544921875,309.8386535644531,202.77032470703125,230.31236267089844,1290.25,1444.0029296875,602.9777221679688,27161.912109375,1304.47216796875,790.5425415039062,128.0248260498047,3548.865234375,1202.3741455078125,3681.9521484375,9840.7412109375,558.1500244140625,220.51358032226562
2024-01-10,3095.368408203125,1203.3077392578125,5778.603515625,3220.073486328125,1106.1463623046875,6996.88427734375,1670.7958984375,693.863037109375,1056.810546875,214.3861083984375,5021.29248046875,1318.0244140625,355.4255065917969,3878.843017578125,1150.626220703125,3800.441162109375,2060.63134765625,1419.3111572265625,1633.641845703125,642.7640991210938,3985.861328125,576.7437744140625,2542.40771484375,984.573974609375,1622.141357421875,1461.174560546875,433.6747741699219,823.350341796875,1818.806640625,3485.341064453125,1620.9315185546875,9916.53515625,2543.45361328125,303.63702392578125,198.5118408203125,227.3181915283203,1325.050048828125,1446.0950927734375,599.4585571289062,26693.765625,1305.3095703125,799.0924072265625,128.45590209960938,3571.130126953125,1207.4827880859375,3702.33544921875,9718.56640625,558.5999755859375,221.9078369140625
2024-01-11,3078.084228515625,1192.011474609375,5847.3388671875,3221.395751953125,1124.8818359375,7240.00830078125,1668.197509765625,692.8873291015625,1056.959716796875,217.92555236816406,5070.69970703125,1314.50439453125,357.5652160644531,3881.37744140625,1131.787841796875,3846.184326171875,2075.723388671875,1412.3675537109375,1626.7855224609375,641.8173217773438,4182.50341796875,573.6614990234375,2501.767333984375,982.6902465820312,1639.64697265625,1436.4674072265625,433.0663146972656,815.6605224609375,1820.854248046875,3445.381103515625,1616.8116455078125,9917.42578125,2522.834228515625,303.2009582519531,198.27784729003906,229.97967529296875,1359.9000244140625,1422.532470703125,597.9641723632812,26761.19140625,1296.8365478515625,806.2091064453125,129.2222137451172,3592.770263671875,1215.7537841796875,3686.537353515625,9861.9658203125,562.25,219.26609802246094
2024-01-12,3101.262939453125,1196.1236572265625,5773.423828125,3211.20751953125,1119.4859619140625,7243.08349609375,1650.8585205078125,692.1013793945312,1070.3848876953125,217.71176147460938,5084.91455078125,1297.002685546875,354.54168701171875,3860.257080078125,1131.072021484375,3828.43115234375,2103.466796875,1465.6357421875,1619.090576171875,635.4390258789062,4221.94677734375,578.7323608398438,2509.46142578125,994.934814453125,1655.61962890625,1550.43701171875,436.8573913574219,819.3814086914062,1831.242919921875,3508.245849609375,1612.64208984375,9872.40234375,2515.33642578125,302.958740234375,209.087890625,227.65089416503906,1370.7249755859375,1430.0048828125,610.8836669921875,26725.439453125,1306.393310546875,806.999755859375,129.60537719726562,3734.39208984375,1272.824462890625,3713.847900390625,9750.6259765625,565.0999755859375,227.70504760742188
